"Amsterdam","Alhambra"
"Amsterdam","Apollo"
"Amsterdam","Asta"
"Amsterdam","Astoria"
"Amsterdam","Beurs Bioscoop"
"Amsterdam","Bio"
"Amsterdam","Café-Bioscoop Blaauw"
"Amsterdam","Capitol (Damrak)"
"Amsterdam","Capitol (Rozengracht)"
"Amsterdam","Ceintuur Theater"
"Amsterdam","Centraal Theater (Amstelstraat)"
"Amsterdam","Cineac Damrak"
"Amsterdam","Cineac Reguliersbreestraat"
"Amsterdam","Cinema Palace"
"Amsterdam","Cinema Royal"
"Amsterdam","Cinema de la Monnaie"
"Amsterdam","Cinetol"
"Amsterdam","City Bioscope"
"Amsterdam","City Theater"
"Amsterdam","Corso"
"Amsterdam","Cultura"
"Amsterdam","De Liefde"
"Amsterdam","De Munt"
"Amsterdam","De Uitkijk"
"Amsterdam","Desmet"
"Amsterdam","Du Midi"
"Amsterdam","Edison (Elandsgracht)"
"Amsterdam","Flora"
"Amsterdam","Grand Théâtre"
"Amsterdam","Hallen"
"Amsterdam","Hollandia (Haarlemmerdijk)"
"Amsterdam","Hollandia (Nieuwe Herengracht)"
"Amsterdam","Kriterion"
"Amsterdam","Luxor"
"Amsterdam","Mille Colonnes"
"Amsterdam","National Theater"
"Amsterdam","Nova"
"Amsterdam","Nöggerath"
"Amsterdam","Odeon (Zeeburgerstraat)"
"Amsterdam","Olympia (Bellamystraat)"
"Amsterdam","Olympia (Dapperstraat)"
"Amsterdam","Ooster Theater"
"Amsterdam","Opera Bioscoop"
"Amsterdam","Panopticum (Amstelstraat)"
"Amsterdam","Parisien (Nieuwendijk)"
"Amsterdam","Passage"
"Amsterdam","Pathé"
"Amsterdam","Plantage Bioscoop (Nieuwe Herengracht)"
"Amsterdam","Plaza"
"Amsterdam","Prinsen Theater"
"Amsterdam","Rembrandt Bioscope"
"Amsterdam","Rembrandt Theater"
"Amsterdam","Rex"
"Amsterdam","Rialto"
"Amsterdam","Roxy"
"Amsterdam","Rozen Theater"
"Amsterdam","Scala"
"Amsterdam","Swinden Theater"
"Amsterdam","Thalia (D)"
"Amsterdam","Tip-Top Theater"
"Amsterdam","Tivoli"
"Amsterdam","Tuschinski"
"Amsterdam","Union"
"Amsterdam","Victoria (Sloterkade)"
"Amsterdam","West End"
"Amsterdam","Witte Bioscoop"
"Arnhem","Arnhems Theater"
"Arnhem","Gebouw Irene"
"Beek (L)","Hollandia"
"Breda","Hof van Holland"
"Brunssum","Astoria (Rumpenerstraat)"
"Bussum","Mobile Theatre"
"Bussum","Palace"
"Delft","Gebouw voor Weg- en Waterbouwkunde"
"Delft","Modern"
"Den Bosch","Chicago"
"Den Bosch","Mobile Theatre"
"Den Haag","Albert Frères Theater"
"Den Haag","Alhambra"
"Den Haag","Amicitia"
"Den Haag","Apollo"
"Den Haag","Asta"
"Den Haag","Capitol"
"Den Haag","Casino (Boekhorststraat)"
"Den Haag","Casino (Spui)"
"Den Haag","Centraal Bioscoop Theater"
"Den Haag","Centrum (Vlamingstraat)"
"Den Haag","Cineac Buitenhof"
"Den Haag","Cinéma Américain"
"Den Haag","City Theater"
"Den Haag","Corso"
"Den Haag","Empire (Nieuwstraat)"
"Den Haag","Excelsior"
"Den Haag","Familie Bioscoop"
"Den Haag","Flora (Wagenstraat)"
"Den Haag","Gebouw voor Kunsten en Wetenschappen (Alberts Frères)"
"Den Haag","Haagsche Bioscoop"
"Den Haag","Haagsche Kunstkring"
"Den Haag","Hollywood"
"Den Haag","Japansche Bioscoop"
"Den Haag","Kurhaus Cinema"
"Den Haag","Lorenzplein Theater"
"Den Haag","Luxor"
"Den Haag","Metropole Palace"
"Den Haag","Monopole"
"Den Haag","Musica"
"Den Haag","Odeon (Herengracht)"
"Den Haag","Odéon (Prinsegracht)"
"Den Haag","Olympia"
"Den Haag","Passage Bioscoop I"
"Den Haag","Passage Bioscoop II"
"Den Haag","Princesse Schouwburg"
"Den Haag","Rembrandt (Lorentzplein)"
"Den Haag","Residentie Bioscoop"
"Den Haag","Rex (Lange Poten)"
"Den Haag","Roxy"
"Den Haag","Savoy"
"Den Haag","Seinpost Theater"
"Den Haag","Studio"
"Den Haag","Thalia"
"Den Haag","Tip-Top"
"Den Haag","Tivoli"
"Den Haag","Trianon"
"Den Haag","Union"
"Den Haag","West End"
"Den Haag","zaal Duitse School"
"Dordrecht","Dordtsch Bioscope Theater"
"Echt (L)","Royal"
"Eindhoven","Chicago"
"Eindhoven","Parisien"
"Enkhuizen","Mobile Theatre"
"Enschede","Apollo"
"Eygelshoven (L)","Hollandia"
"Geleen","Roxy"
"Gorredijk (Fr)","Mobile Theatre"
"Groningen","Apollo"
"Groningen","Beurs Theater"
"Groningen","Cinema Palace"
"Groningen","Elite"
"Groningen","Grand Theatre"
"Groningen","Groninger Bioscope-Theater"
"Groningen","Luxor"
"Groningen","Parkzicht"
"Groningen","Witte Bioscoop"
"Gulpen","De Kroon"
"Heerlen","Hollandia (Saroleastraat)"
"Heerlen","Stadschouwburg"
"Hengelo","Eerste Hengeloosche Bioscoop"
"Hilversum","Harmonie"
"Hoensbroek","Luxor"
"Hoorn","Modern"
"IJmuiden","De Cycloop"
"Kerkrade","Capitol"
"Kerkrade","Hollandia (Akerstraat)"
"Kerkrade","Hollandia (Markt)"
"Kerkrade","Tonhalle Bioscoop"
"Landgraaf (L)","Asta"
"Landgraaf (L)","Grand Theater"
"Leeuwarden","Friso Bioscoop"
"Leiden","Apollo"
"Leiden","Casino"
"Leiden","City"
"Leiden","Het Leidse Volkshuis"
"Leiden","Hollandia"
"Leiden","Lido"
"Leiden","Luxor"
"Leiden","Rejo"
"Leiden","Rex"
"Leiden","Roxy"
"Leiden","Thalia"
"Leiden","Trianon"
"Maastricht","Gala Bioscoop"
"Maastricht","Mabi Theater"
"Maastricht","Palace"
"Maastricht","Royal"
"Roermond","Royal"
"Roosendaal","Cinema Palace"
"Roosendaal","Mobile Theatre"
"Rotterdam","Américain"
"Rotterdam","Apollo (Goudseweg)"
"Rotterdam","Arena"
"Rotterdam","Asta"
"Rotterdam","Capitol"
"Rotterdam","Centraal (Binnenweg)"
"Rotterdam","Cineac Beurs (Cineac AD)"
"Rotterdam","City"
"Rotterdam","Colosseum"
"Rotterdam","Concordia Bioscoop"
"Rotterdam","Corso (Coolsingel)"
