"Biographica","9705"
"Music","5971"
"Portrait","5425"
"Squatters movement","5051"
"General elections","3616"
"Occupational safety","2246"
"Caricature","2183"
"Exhibitions","1776"
"Nuclear weapons","1744"
"Culture","1577"
"Housing","1533"
"Environment protection","1493"
"Women","1478"
"Racial discrimination","1460"
"Nuclear energy","1404"
"Theatre","1356"
"AIDS","1353"
"Elections","1248"
"Peace movement","1221"
"War and peace","1180"
"Subculture","1133"
"Working conditions","1122"
"Human rights","1111"
"Film industry","1095"
"Fascism","1043"
"Anarchism","1039"
"Universities","1012"
"Public health","983"
"Discrimination","979"
"Youth","929"
"Local elections","918"
"Education","880"
"Group portrait","869"
"Membership recruitment","750"
"Social inequality debate","747"
"Refugees","741"
"Subscriber canvassing","714"
"Police","711"
"Emancipation of women","695"
"Anti-fascism","681"
"Anniversaries","676"
"Development","643"
"Student movement","629"
"Trade union movement","592"
"Children","591"
"Students","585"
"Militarism","556"
"Political prisoners","552"
"Regional elections","539"
"Urban development","522"
"Poetry","475"
"Spirituality","473"
"Animal protection","470"
"Strikes","470"
"Homosexuality","464"
"Unemployment","456"
"Defence policy","442"
"Agriculture","423"
"Press","401"
"Economy","401"
"Publishing houses","393"
"Art","389"
"Jurisdiction","380"
"Books","374"
"Booksellers","363"
"Media","361"
"Pop music","344"
"Conscientious objection","344"
"Migrant workers","344"
"Drugs","330"
"Religion","303"
"Dance","300"
"Nature conservation","286"
"Motorcar","284"
"Workers' participation","284"
"Traffic","280"
"Visual arts","278"
"Rent","274"
"Underground railway","271"
"Environmentalism","252"
"Armed forces","241"
"Staying permit","235"
"Anti-capitalism","232"
"Struggle for independence","231"
"Double portrait","227"
"Politics","226"
"Temperance movement","216"
"Social security","212"
"Ethnic minorities","208"
"Education policy","208"
"Anti-parliamentarism","205"
"Migrant culture","203"
"Personel registration","202"
"Employment conditions","201"
"Supplementary benefit","199"
"Minorities","196"
"Anti-imperialism","196"
"Bicycle","194"
"Sport","194"
"Civil defence","189"
"Communities","188"
"Abortion","187"
"Land-forces","182"
"Energy","182"
"Right extremism","182"
"European elections","181"
"Presidential elections","174"
"Neo-Nazism","172"
"Sexual violence","171"
"Independence","170"
"Radio","167"
"Welfare work","167"
"Working hours","165"
"Democratization","163"
"Standard of living","160"
"Mental health care","157"
"Environmentally sound products","154"
"Public transport","154"
"Buildings","153"
"Wages","153"
"Youth work","153"
"Freedom of opinion","153"
"Sexuality","151"
"Literature","151"
"Youth unemployment","150"
"Globalism","149"
"Labour ethics","144"
"Costs of studying","143"
"Occupation","141"
"Genetic engineering","138"
"Sit-down strikes","137"
"Indians","135"
"Kurds","132"
"Privacy","129"
"Criminality","129"
"Planned economy","128"
"Labour-market","123"
"Conscription","121"
"Acts of war","121"
"Palestinians","119"
"Birth control","118"
"Nuclear waste","116"
"Fight against unemployment","116"
"Migrants","115"
"Old-age insurance","113"
"Culture policy","110"
"Prisons","110"
"Socio-economic policy","109"
"Photography","108"
"Taxes","108"
"Communism","106"
"Science and humanities","106"
"Health","106"
"Monarchy","103"
"Air-force","102"
"Transport companies","101"
"Youth life style","101"
"Socio-cultural education","99"
"Censorship","97"
"Immigrants","97"
"Judicature","96"
"Prisoners","96"
"Literacy projects","93"
"Industry","91"
"Religious groups","90"
"Social insurance","89"
"Border disputes","89"
"Solidarity movements","89"
"Air pollution","88"
"Multinationals","87"
"Labour law","87"
"Gay emancipation","87"
"Mining","86"
"Commemorations","85"
"War victims","85"
"Socialism","84"
"Capital punishment","83"
"Collective labour agreement","83"
"Social disturbances","82"
"Juvenile wage","82"
"Women's movement","82"
"Cigarettes","81"
"Economic policy","81"
"Military men","81"
"Farmers","79"
"Aboriginals","79"
"Smoking","79"
"Social work","78"
"Christianity","75"
"Constitutions","73"
